procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 2422916 226644 2670604    0    0   121    40  192  439  5  2 92  0  0
 1  0      0 2374160 226644 2689464    0    0     0   576 1424 3926 15  6 79  1  0
 6  0      0 2364916 226644 2689392    0    0     0     0 2370 5522 17 11 72  0  0
 0  0      0 2349056 226644 2693488    0    0     0     0  904 1867 10  6 84  0  0
 0  0      0 2339512 226644 2693488    0    0     0     0  156  385  1  1 99  0  0
 1  0      0 2454572 226644 2691312    0    0     0     0  295  719  2  1 97  0  0
 1  0      0 2443184 226652 2693376    0    0     0   152 1438 3984  8  4 89  0  0
 4  0      0 2432364 226660 2703892    0    0     0   152 4330 9994 34 12 54  0  0
 3  0      0 2434080 226660 2701152    0    0     0   688 4100 7710 25 11 64  0  0
 1  0      0 2434116 226660 2701148    0    0     0     0 2845 4733 11  6 83  0  0
 1  0      0 2438272 226660 2698184    0    0     0     0 2821 4487 11  6 83  0  0
 0  0      0 2449108 226660 2698036    0    0     0     0 2673 4287 11  5 84  0  0
 4  0      0 2446996 226668 2697972    0    0     0   128 2994 4827 15  7 78  0  0
 0  0      0 2443988 226676 2695320    0    0     0    60 3391 5541 22 11 67  0  0
 2  0      0 2446776 226676 2692976    0    0     0     0 3088 5260 15  8 77  0  0
 0  0      0 2449072 226692 2692724    0    0     0   240 2953 4891 15  8 77  0  0
 0  0      0 2452320 226692 2692724    0    0     0     0 2862 4560 13  6 81  0  0
 1  0      0 2452336 226692 2692728    0    0     0    80 2727 4726 10  6 84  0  0
 2  0      0 2449168 226692 2695416    0    0     0     0 3031 6756 16  8 75  0  0
 2  0      0 2436144 226692 2695544    0    0     0     0 3945 9002 31 13 55  0  0
 4  0      0 2417504 226712 2710748    0    0     0   180 3784 8681 34 13 53  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0      0 2418920 226712 2706788    0    0     0     0 3160 6665 21  9 70  0  0
 2  0      0 2412188 226712 2710008    0    0     0     0 2402 3897 14  6 80  0  0
 5  0      0 2417764 226772 2713076    0    0     0  1944 3722 5767 32 11 56  1  0
 2  0      0 2417464 226772 2713256    0    0     0     0 3659 9848 25 13 63  0  0
 1  0      0 2423560 226772 2705992    0    0     0     0 3556 8436 22  8 69  0  0
 0  0      0 2427080 226772 2703068    0    0     0     0 1542 2120  6  2 92  0  0
 0  0      0 2438680 226772 2702792    0    0     0     0 1152  782  2  2 97  0  0
 1  0      0 2427308 226772 2702792    0    0     0     0 2243 4324 13  6 81  0  0
 1  0      0 2426552 226780 2702792    0    0     0    96 1885 2769  9  4 87  0  0
 0  0      0 2434552 226780 2694256    0    0     0     0 2774 5909 15  5 80  0  0
 0  0      0 2445264 226780 2694240    0    0     0     0 2093 4041 10  3 87  0  0
 0  0      0 2447532 226784 2691936    0    0     0     8 1134  792  1  1 97  0  0
 4  0      0 2437216 226784 2694116    0    0     0     0 2413 4161 19  6 75  0  0
 0  0      0 2449672 226784 2694188    0    0     0     0 3652 6187 23  7 70  0  0
 0  0      0 2454792 226792 2694232    0    0     0    48 1486 1758  5  3 92  0  0
 1  0      0 2463280 226856 2686744    0    0     0   436  993 1225  5  2 92  1  0
 0  0      0 2465660 226856 2686676    0    0     0     0  389  852  4  1 95  0  0
 0  0      0 2468100 226856 2686736    0    0     0     0 1406 1843  6  3 91  0  0
 1  0      0 2475328 226856 2689212    0    0     0   876 3062 7202 21  7 72  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 2443148 226988 2682076    0    0   119    40  197  448  5  2 92  0  0
 3  0      0 2431860 226988 2676732    0    0     0     0 1994 4737 14  6 81  0  0
12  0      0 2409576 226988 2688540    0    0    12     0 3352 7783 27 12 61  0  0
 3  0      0 2397528 226988 2688544    0    0     0     0 3076 6581 29  7 64  0  0
 0  0      0 2393144 226988 2684492    0    0     0     0 2448 4680 15  4 81  0  0
 0  0      0 2394624 226988 2684556    0    0     0    12 1483 1732  7  3 90  0  0
 0  0      0 2379504 226996 2681052    0    0     0    64  889 1784  6  3 92  0  0
 2  0      0 2370516 226996 2678316    0    0     0     0 3517 8851 26  8 65  0  0
 0  0      0 2360556 226996 2678508    0    0     0    80 1001 2093  9  3 88  0  0
 2  0      0 2463488 226996 2678508    0    0     0     0  988 2104  6  4 91  0  0
 0  0      0 2462676 226996 2678444    0    0     0     0 1953 3992 14  4 82  0  0
 0  0      0 2473780 226996 2678444    0    0     0     0  400 1010  2  1 97  0  0
 0  0      0 2482064 227004 2676908    0    0     0    12  508 1008  3  1 96  0  0
 0  0      0 2483436 227004 2676912    0    0     0     0  449  985  4  1 94  0  0
 0  0      0 2485156 227004 2676912    0    0     0     0  399  827  3  1 96  0  0
 1  0      0 2492880 227004 2672812    0    0     0    24 1302 3214 10  3 87  0  0
 0  0      0 2492068 227004 2673108    0    0     0     0 1739 2854  8  4 88  0  0
 0  0      0 2492288 227004 2672948    0    0     0   152  407  974  3  1 95  0  0
